date_time,temp,humid,wind_speed
2024-09-24T00:00,26.7,63,7.8
2024-09-24T01:00,25.4,69,4.7
2024-09-24T02:00,25.2,68,4.0
2024-09-24T03:00,24.2,74,2.2
2024-09-24T04:00,23.9,77,3.6
2024-09-24T05:00,22.6,82,2.2
2024-09-24T06:00,21.8,83,1.3
2024-09-24T07:00,21.1,86,4.1
2024-09-24T08:00,21.2,85,5.5
2024-09-24T09:00,21.3,81,5.7
2024-09-24T10:00,20.7,86,2.6
2024-09-24T11:00,21.1,87,3.3
2024-09-24T12:00,21.2,91,4.9
2024-09-24T13:00,22.0,92,2.6
2024-09-24T14:00,22.2,96,2.9
2024-09-24T15:00,23.2,89,3.1
2024-09-24T16:00,24.0,83,2.4
2024-09-24T17:00,26.4,77,6.1
2024-09-24T18:00,28.6,73,5.6
2024-09-24T19:00,30.0,58,4.7
2024-09-24T20:00,31.5,49,3.6
2024-09-24T21:00,32.2,43,3.7
2024-09-24T22:00,32.4,42,4.8
2024-09-24T23:00,31.8,43,6.5
2024-09-25T00:00,30.7,42,7.8
2024-09-25T01:00,27.4,49,10.8
2024-09-25T02:00,26.6,58,10.7
2024-09-25T03:00,26.0,60,10.1
2024-09-25T04:00,25.7,68,10.4
2024-09-25T05:00,25.4,67,9.0
2024-09-25T06:00,24.9,72,9.7
2024-09-25T07:00,24.5,73,10.4
2024-09-25T08:00,24.2,72,10.6
2024-09-25T09:00,23.6,83,19.1
2024-09-25T10:00,23.2,98,11.8
2024-09-25T11:00,21.1,96,20.2
2024-09-25T12:00,20.4,95,17.9
2024-09-25T13:00,20.1,93,17.6
2024-09-25T14:00,20.8,89,17.7
2024-09-25T15:00,21.6,85,18.1
2024-09-25T16:00,23.3,82,18.6
2024-09-25T17:00,24.8,83,22.6
2024-09-25T18:00,25.8,76,24.2
2024-09-25T19:00,26.9,70,24.9
2024-09-25T20:00,27.6,65,23.5
2024-09-25T21:00,27.2,51,22.5
2024-09-25T22:00,27.5,44,23.1
2024-09-25T23:00,27.3,39,22.3
2024-09-26T00:00,25.5,39,18.0
2024-09-26T01:00,23.7,44,15.7
2024-09-26T02:00,22.5,47,12.1
2024-09-26T03:00,21.5,51,7.7
2024-09-26T04:00,20.7,55,6.8
2024-09-26T05:00,20.1,58,6.2
2024-09-26T06:00,19.4,61,4.7
2024-09-26T07:00,18.8,63,2.5
2024-09-26T08:00,18.1,68,3.6
2024-09-26T09:00,17.6,70,3.7
2024-09-26T10:00,17.2,73,5.8
2024-09-26T11:00,16.6,81,4.3
2024-09-26T12:00,16.1,82,5.2
2024-09-26T13:00,22.2,47,5.7
2024-09-26T14:00,23.0,42,7.3
2024-09-26T15:00,24.2,40,8.0
2024-09-26T16:00,25.5,37,9.1
2024-09-26T17:00,26.9,35,10.0
2024-09-26T18:00,28.0,31,10.4
2024-09-26T19:00,29.1,28,9.7
2024-09-26T20:00,29.9,25,9.8
